iter	Logloss
242	0.3791480591
243	0.3789155312
244	0.3786351071
245	0.3783951011
246	0.3781442204
247	0.3779311265
248	0.3775240854
249	0.3774599313
250	0.3770457967
251	0.3766857014
252	0.3765045881
253	0.3763190231
254	0.3759355469
255	0.3756689981
256	0.3753659277
257	0.3750735409
258	0.3748403187
259	0.3744728156
260	0.374375156
261	0.3740130469
262	0.3736883785
263	0.3734635037
264	0.3732081031
265	0.3729362203
266	0.3728087882
267	0.3724274842
268	0.371990199
269	0.3715584612
270	0.3713846067
271	0.3710977795
272	0.3706312284
273	0.3704722821
274	0.370163983
275	0.3701326873
276	0.3699213962
277	0.369660618
278	0.3693450333
279	0.3692608727
280	0.3690098143
281	0.3688235485
282	0.3686554885
283	0.3681136523
284	0.3678396048
285	0.3673579453
286	0.3671730738
287	0.3670046171
288	0.3667579634
289	0.3664531855
290	0.3662229648
291	0.3661797133
292	0.3659059103
293	0.3658697295
294	0.3658520927
295	0.3656562164
296	0.3654167544
297	0.3652455967
298	0.3651551155
299	0.3650449883
300	0.3648572282
301	0.3646980422
302	0.3644915298
303	0.3642931968
304	0.3640079125
305	0.3637073334
306	0.3634464725
307	0.3632436836
308	0.3629244038
309	0.362887379
310	0.3626937997
311	0.3626420193
312	0.3622809769
313	0.3621284212
314	0.3618491503
315	0.3616819067
316	0.3615123298
317	0.3613417971
318	0.361275256
319	0.361088728
320	0.3608273357
321	0.3607024044
322	0.360487927
323	0.3603724291
324	0.360336607
325	0.3602736026
326	0.3600446983
327	0.3598999258
328	0.3597120431
329	0.3595661731
330	0.3594198697
331	0.3591498465
332	0.3589157789
333	0.3588068378
334	0.358711608
335	0.358659698
336	0.3584692808
337	0.3582564474
338	0.3580183279
339	0.3579369674
340	0.357834771
341	0.3576505195
342	0.3575499946
343	0.3573867947
344	0.3572356878
345	0.3570964228
346	0.3568718959
347	0.3567567732
348	0.3565418834
349	0.3564728305
350	0.3564312006
351	0.3563798884
352	0.3563264519
353	0.3563050848
354	0.3561716639
355	0.3559700822
356	0.3555918702
357	0.3554149505
358	0.3551625973
359	0.354995334
360	0.354916882
361	0.3547058827
362	0.3545264547
363	0.3543534229
364	0.3542507146
365	0.3541781399
366	0.3541065183
367	0.3540529612
368	0.35398441
369	0.3537489938
370	0.3537406374
371	0.3534889045
372	0.3532665551
373	0.3532009083
374	0.3531400856
375	0.3530414628
376	0.3529447987
377	0.3527789745
378	0.3525481926
379	0.3522059429
380	0.3520771124
381	0.3518967051
382	0.3516788653
383	0.3515674406
384	0.3515132356
385	0.351358245
386	0.3511838327
387	0.3510290397
388	0.3508525614
389	0.3507291607
390	0.3507026025
391	0.3506525618
392	0.3505672004
393	0.3504659257
394	0.3503183526
395	0.3502847818
396	0.3502032486
397	0.3497510394
398	0.3495933505
399	0.3494507398
400	0.349416063
401	0.3493372172
402	0.3492369385
403	0.3490897106
404	0.3489330185
405	0.3487978252
406	0.3484200903
407	0.3482599084
408	0.3480428606
409	0.3477771769
410	0.3476884063
411	0.3475026921
412	0.3474286325
413	0.3472688108
414	0.3472319526
415	0.347074814
416	0.3468683372
417	0.3467139388
418	0.3466156531
419	0.3464731001
420	0.3463149966
421	0.3462216679
422	0.346008669
423	0.3458253034
424	0.3457155855
425	0.3455316355
426	0.3454864319
427	0.3454123464
428	0.3451848634
429	0.3450610652
430	0.3449146316
431	0.3448020446
432	0.3445991437
433	0.3445195359
434	0.3443619623
435	0.3442221015
436	0.3440620857
437	0.3440032822
438	0.343962509
439	0.3438451807
440	0.3437522718
441	0.3435544821
442	0.3434861542
443	0.3432594078
444	0.3431704871
445	0.3429739693
446	0.3428637409
447	0.3427708063
448	0.342704458
449	0.3424586211
450	0.3422517447
451	0.3422420802
452	0.3420490004
453	0.3419268989
454	0.3417880377
455	0.34162891
456	0.3414572523
457	0.3411423429
458	0.3409378412
459	0.3408433818
460	0.3406933677
461	0.3405981808
462	0.3403833327
463	0.340308703
464	0.3402574096
465	0.3401917284
466	0.3399643856
467	0.3398706793
468	0.3397573946
469	0.3396797099
470	0.3395754837
471	0.3395245823
472	0.3393926626
473	0.3392858724
474	0.3392122901
475	0.3390293632
476	0.3389026996
477	0.3388537573
478	0.3387546952
479	0.3386956817
480	0.3384490266
481	0.3383909658
482	0.3382649462
483	0.3381567204
484	0.3378021336
485	0.3377439869
486	0.337434065
487	0.3372247856
488	0.3370292801
489	0.336904363
490	0.3367852842
491	0.3367508308
492	0.336611758
493	0.3365645948
494	0.3363487226
495	0.3360240284
496	0.3359640732
497	0.335719689
498	0.3355520921
499	0.3354595754
500	0.3354217848
501	0.3353540996
502	0.3351580915
503	0.3351080281
504	0.3349375776
505	0.3348902795
506	0.3347774109
507	0.3347102845
508	0.3343783909
509	0.3343656061
510	0.3343426936
511	0.3340242283
512	0.3338743635
513	0.3337191162
514	0.3335948577
515	0.3334268583
516	0.3332053784
517	0.3332052659
518	0.3330797807
519	0.3330280123
520	0.3329493952
521	0.3328758758
522	0.3327969534
523	0.3326500612
524	0.3325756209
525	0.3324171265
526	0.3322980446
527	0.332192513
528	0.3321817008
529	0.3321370481
530	0.332125309
531	0.3318766649
532	0.3318762393
533	0.3317134086
534	0.3316534001
535	0.3316199657
536	0.3314719477
537	0.3314254095
538	0.3312917498
539	0.3311119612
540	0.3311018778
541	0.3310378124
542	0.3308519013
543	0.3305827969
544	0.3305142973
545	0.330343136
546	0.3302391239
547	0.3301765947
548	0.3300638297
549	0.3300254255
550	0.3298898356
551	0.3297097373
552	0.3295672168
553	0.3293854815
554	0.3292777463
555	0.3291445093
556	0.3290759268
557	0.3289651435
558	0.32876558
559	0.3284690879
560	0.3283025155
561	0.3282388024
562	0.3280921337
563	0.3278800587
564	0.3277310599
565	0.3276387608
566	0.3273425037
567	0.3272434918
568	0.327097304
569	0.3268996445
570	0.3268208961
571	0.3266804992
572	0.326515682
573	0.326458994
574	0.3263442407
575	0.3263432414
576	0.3262382214
577	0.3261198776
578	0.3261198364
579	0.3260215004
580	0.3259912087
581	0.3259041901
582	0.3256670918
583	0.3256664696
584	0.3256276355
585	0.3255235879
586	0.3254353273
587	0.3253287954
588	0.3251502039
589	0.3249688713
590	0.3248043126
591	0.324652451
592	0.3245185395
593	0.3244862709
594	0.3244343924
595	0.3243525354
596	0.3241285717
597	0.3239840578
598	0.3239069016
599	0.3238486083
600	0.3237542701
601	0.3236088979
602	0.3233863348
603	0.3233131988
604	0.3232620739
605	0.3229929402
606	0.3229309988
607	0.3229052446
608	0.3227460815
609	0.3225883898
610	0.3224977356
611	0.3223768698
612	0.3222279075
613	0.322086427
614	0.3219033113
615	0.3217794755
616	0.3217383286
617	0.3215502134
618	0.3214849138
619	0.3213480753
620	0.321269851
621	0.3211641849
622	0.3209736398
623	0.3208258526
624	0.3207287602
625	0.3206786728
626	0.3205529588
627	0.3205405954
628	0.320467638
629	0.3203819791
630	0.3202939047
631	0.3201942219
632	0.3198746043
633	0.3198596526
634	0.3197030975
635	0.3196565784
636	0.3195836688
637	0.3195229606
638	0.3194591522
639	0.3193945426
640	0.3192645375
641	0.3190634378
642	0.3189986716
643	0.3188477658
644	0.3186974426
645	0.3186045554
646	0.3185495098
647	0.3184714
648	0.3182954247
649	0.3181981147
650	0.3180444198
651	0.3177993756
652	0.3177338727
653	0.3175901912
654	0.3175355396
655	0.3173706965
656	0.3173623157
657	0.3171395636
658	0.3171145055
659	0.3171000387
660	0.3169311883
661	0.3168411988
662	0.3166855122
663	0.3164529042
664	0.3163958153
665	0.3163101834
666	0.316309305
667	0.3161939828
668	0.3159899686
669	0.3157685918
670	0.3157542083
671	0.3155938188
672	0.3154288789
673	0.3153596518
674	0.3152399175
675	0.315077824
676	0.3149879215
677	0.314852439
678	0.314713491
679	0.3145184452
680	0.3145085178
681	0.3143938058
682	0.3143153534
683	0.3142528426
684	0.3141627719
685	0.3140063318
686	0.3139621381
687	0.3139171283
688	0.3138613004
689	0.3136179013
690	0.3134567873
691	0.3133772151
692	0.313260775
693	0.3131698568
694	0.3129586007
695	0.3126962081
696	0.3124468346
697	0.3124397938
698	0.3121998208
699	0.3121074676
700	0.3119791439
701	0.3117996497
702	0.3116428282
703	0.3116347543
704	0.3115469297
705	0.3115370053
706	0.3114554804
707	0.3113893094
708	0.3112877644
709	0.311183179
710	0.3110997331
711	0.3108878618
712	0.3107058894
713	0.310646259
714	0.31055526
715	0.3103711102
716	0.310263979
717	0.3101757172
718	0.3101287159
719	0.3099700539
720	0.3098672509
721	0.3097760736
722	0.3096836054
723	0.3095846885
724	0.3094877926
725	0.3093904652
726	0.3093754917
727	0.3092432951
728	0.3092073884
729	0.3091322537
730	0.3087985262
731	0.3086779404
732	0.3085491352
733	0.3084061409
734	0.3083750294
735	0.3082061994
736	0.308066197
737	0.3078955886
738	0.3076781562
739	0.3074944299
740	0.307456548
741	0.3074184372
742	0.3072377996
743	0.3071709562
744	0.3070644547
745	0.3070566868
746	0.3068928412
747	0.3065961079
748	0.3064003216
749	0.3063335524
750	0.3061491192
751	0.3060650246
752	0.3059313798
753	0.3058139163
754	0.3057134073
755	0.3056210335
756	0.3055156687
757	0.305375507
758	0.3052796164
759	0.3051509844
760	0.3050151617
761	0.3049032344
762	0.3047961294
763	0.3045705521
764	0.3043603487
765	0.3043064682
766	0.3042062121
767	0.3041376759
768	0.3038939498
769	0.3037980294
770	0.3037871548
771	0.3037043005
772	0.3036070412
773	0.3034586163
774	0.3033929367
775	0.303124462
776	0.3029007562
777	0.3027257656
778	0.3027139291
779	0.3025526347
780	0.3025198261
781	0.3023868779
782	0.302271745
783	0.3021459108
784	0.3020497584
785	0.3019021533
786	0.3015817305
787	0.3013679914
788	0.3011146358
789	0.3009770462
790	0.3008868019
791	0.3008334386
792	0.3006776111
793	0.3005722035
794	0.3005249857
795	0.3003654155
796	0.3001945601
797	0.3000077638
798	0.2998902389
799	0.2998501236
800	0.2997784356
801	0.2997584367
802	0.2996945082
803	0.2996470953
804	0.2995895834
805	0.2995403174
806	0.2994578493
807	0.2994259532
808	0.2993543853
809	0.2991161892
810	0.2989973168
811	0.2988976226
812	0.2988140166
813	0.2987455362
814	0.2985866485
815	0.2983663149
816	0.2983205546
817	0.298177131
818	0.2981003499
819	0.2980465859
820	0.2978510945
821	0.2977308139
822	0.2975927145
823	0.2974757377
824	0.2972200876
825	0.2970637469
826	0.2969655194
827	0.2969175688
828	0.2967722969
829	0.2965659577
830	0.2965462895
831	0.2962901092
832	0.2961783704
833	0.2959452371
834	0.2958090727
835	0.2958035555
836	0.2956395348
837	0.2954677825
838	0.2951584878
839	0.2950662262
840	0.2950552408
841	0.2948653305
842	0.294699496
843	0.2946970989
844	0.294608194
845	0.294382621
846	0.2943031649
847	0.2942696875
848	0.2941810716
849	0.2939964726
850	0.2938169999
851	0.293686827
852	0.2936301622
853	0.2934648954
854	0.2933896382
855	0.2933461106
856	0.293279944
857	0.2932024005
858	0.29307078
859	0.2929797502
860	0.2929311048
861	0.2927561818
862	0.292587512
863	0.29242578
864	0.2923335024
865	0.2922415088
866	0.2921724779
867	0.2920276509
868	0.2919113143
869	0.2918806667
870	0.2918359824
871	0.2915422232
872	0.291256346
873	0.2911327125
874	0.2911090274
875	0.2910343491
876	0.2908777378
877	0.2908315357
878	0.2905619438
879	0.2905088476
880	0.2904134604
881	0.2902533828
882	0.2901408579
883	0.290028995
884	0.2898842522
885	0.2896636805
886	0.2895280921
887	0.2892496637
888	0.2891360299
889	0.2889036388
890	0.2888711593
891	0.288803293
892	0.2886308247
893	0.2883407759
894	0.2882426037
895	0.2879975772
896	0.2879102244
897	0.2878292087
898	0.2877268232
899	0.2876124069
900	0.2875039692
901	0.2872576579
902	0.2872204513
903	0.2870116902
904	0.2869475354
905	0.2867943672
906	0.2866896951
907	0.2865518931
908	0.2864847398
909	0.286207176
910	0.2861603114
911	0.2860151791
912	0.2859507291
913	0.2858696368
914	0.2856929062
915	0.2854987447
916	0.2853463467
917	0.2850522984
918	0.2850090719
919	0.2849659239
920	0.2848575614
921	0.2845764049
922	0.2844525684
923	0.2843221252
924	0.2841936757
925	0.2841168964
926	0.2839613296
927	0.2836994407
928	0.2835504138
929	0.2834413269
930	0.2833656259
931	0.2833342306
932	0.2832255596
933	0.283048897
934	0.2829997449
935	0.2828312771
936	0.2827294852
937	0.2826826851
938	0.2825818978
939	0.2825500775
940	0.2824820407
941	0.2824279779
942	0.2822370204
943	0.2819765904
944	0.2819314573
945	0.2819179979
946	0.2817174181
947	0.2816247282
948	0.2814605391
949	0.2813527409
950	0.2811981038
951	0.2810656874
952	0.2809693891
953	0.2808223427
954	0.2807416528
955	0.2805832328
956	0.2804973239
957	0.2804449715
958	0.2802071857
959	0.2800051726
960	0.2797806598
961	0.2797149518
962	0.2797050073
963	0.2796421372
964	0.2795971795
965	0.2794439883
966	0.279278351
967	0.2791181135
968	0.2788913571
969	0.2787696741
970	0.2787326987
971	0.2786411593
972	0.2783735986
973	0.2781889843
974	0.2780987698
975	0.2779524375
976	0.2778105413
977	0.2774897867
978	0.2772375677
979	0.2771934208
980	0.2771017426
981	0.2770042885
982	0.2767539309
983	0.2765579565
984	0.2763416877
985	0.2763017766
986	0.2762054916
987	0.2759345211
988	0.2756868732
989	0.2756084261
990	0.2755528619
991	0.2753281782
992	0.2751852781
993	0.2750155675
994	0.2748994005
995	0.2747402947
996	0.2745664692
997	0.2745045295
998	0.2744573368
999	0.2743943735
