iter	Passed	Remaining
475	709	781
476	711	780
477	712	778
478	714	777
479	716	775
480	717	774
481	719	772
482	720	771
483	722	769
484	723	768
485	725	767
486	726	765
487	728	764
488	729	762
489	731	761
490	732	759
491	734	757
492	735	756
493	736	754
494	738	753
495	739	751
496	741	750
497	742	748
498	744	747
499	745	745
500	746	743
501	748	742
502	749	740
503	751	739
504	752	738
505	754	736
506	755	735
507	757	733
508	758	732
509	759	729
510	760	728
511	762	726
512	763	725
513	765	723
514	766	722
515	768	720
516	769	719
517	770	717
518	772	715
519	773	714
520	775	712
521	776	711
522	778	709
523	779	708
524	781	706
525	782	705
526	784	703
527	785	702
528	786	700
529	788	699
530	789	697
531	791	696
532	792	694
533	793	692
534	795	691
535	796	689
536	797	687
537	799	686
538	801	685
539	802	683
540	803	681
541	805	680
542	806	678
543	807	677
544	809	675
545	810	674
546	812	672
547	813	671
548	815	669
549	816	668
550	818	667
551	820	665
552	821	663
553	822	662
554	824	660
555	825	659
556	827	657
557	828	656
558	830	654
559	831	653
560	833	651
561	834	650
562	835	648
563	837	647
564	839	646
565	841	644
566	842	643
567	844	641
568	845	640
569	847	639
570	848	637
571	850	636
572	851	634
573	852	633
574	854	631
575	855	629
576	856	627
577	857	626
578	858	624
579	860	622
580	861	621
581	863	620
582	865	618
583	866	616
584	867	615
585	869	614
586	870	612
587	872	611
588	873	609
589	875	608
590	877	606
591	878	605
592	880	604
593	881	602
594	883	601
595	884	599
596	886	598
597	887	596
598	889	595
599	890	593
600	892	592
601	893	590
602	895	589
603	896	587
604	898	586
605	899	584
606	900	583
607	902	581
608	903	580
609	905	578
610	906	577
611	908	575
612	909	574
613	911	572
614	912	571
615	914	570
616	915	568
617	917	567
618	918	565
619	920	563
620	921	562
621	923	561
622	924	559
623	925	557
624	927	556
625	928	554
626	930	553
627	931	551
628	932	550
629	934	548
630	935	547
631	937	545
632	939	544
633	940	542
634	941	541
635	943	539
636	944	538
637	946	536
638	947	535
639	949	533
640	950	532
641	952	530
642	953	529
643	954	527
644	956	526
645	957	524
646	959	523
647	960	521
648	962	520
649	963	518
650	965	517
651	966	515
652	968	514
653	969	512
654	971	511
655	972	510
656	973	508
657	975	506
658	976	505
659	977	503
660	979	502
661	980	500
662	982	499
663	983	497
664	985	496
665	986	494
666	987	493
667	989	491
668	990	490
669	992	488
670	993	486
671	994	485
672	996	484
673	997	482
674	999	481
675	1000	479
676	1002	478
677	1003	476
678	1005	475
679	1006	473
680	1007	472
681	1009	470
682	1010	469
683	1012	467
684	1013	466
685	1015	464
686	1017	463
687	1018	461
688	1020	460
689	1021	458
690	1023	457
691	1024	456
692	1026	454
693	1027	453
694	1029	451
695	1030	450
696	1032	448
697	1033	447
698	1034	445
699	1036	444
700	1038	442
701	1039	441
702	1041	439
703	1042	438
704	1043	436
705	1044	435
706	1046	433
707	1047	432
708	1049	430
709	1050	429
710	1052	427
711	1053	426
712	1055	424
713	1056	423
714	1058	421
715	1059	420
716	1061	418
717	1062	417
718	1064	416
719	1066	414
720	1067	413
721	1069	411
722	1070	410
723	1072	408
724	1073	407
725	1074	405
726	1076	404
727	1077	402
728	1078	400
729	1079	399
730	1081	397
731	1082	396
732	1084	395
733	1086	393
734	1086	391
735	1088	390
736	1089	388
737	1091	387
738	1092	385
739	1094	384
740	1095	382
741	1097	381
742	1098	380
743	1100	378
744	1102	377
745	1103	375
746	1104	374
747	1106	372
748	1107	371
749	1109	369
750	1110	368
751	1112	366
752	1113	365
753	1114	363
754	1116	362
755	1117	360
756	1119	359
757	1120	357
758	1122	356
759	1123	354
760	1125	353
761	1126	351
762	1128	350
763	1129	349
764	1131	347
765	1133	346
766	1134	344
767	1136	343
768	1137	341
769	1139	340
770	1139	338
771	1141	337
772	1142	335
773	1144	334
774	1145	332
775	1147	331
776	1148	329
777	1150	328
778	1151	326
779	1153	325
780	1154	323
781	1156	322
782	1157	320
783	1158	319
784	1160	317
785	1161	316
786	1163	314
787	1164	313
788	1166	311
789	1167	310
790	1169	308
791	1170	307
792	1172	306
793	1173	304
794	1175	303
795	1176	301
796	1178	300
797	1179	298
798	1181	297
799	1182	295
800	1183	294
801	1184	292
802	1186	291
803	1187	289
804	1189	288
805	1190	286
806	1192	285
807	1194	283
808	1195	282
809	1197	280
810	1198	279
811	1200	277
812	1201	276
813	1203	274
814	1204	273
815	1206	271
816	1207	270
817	1209	269
818	1210	267
819	1212	266
820	1213	264
821	1215	263
822	1216	261
823	1218	260
